model,task,stimulus,score,time_sec,prompt,metric,evaluation_method,temperature,top_p,max_new_tokens,do_sample,few_shot,num_samples,seed
t5,negation,1,0.0,28.97,"Negate the input sentence.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,negation,5,0.0,30.18,Negate the input sentence.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,negation,10,0.0,27.58,Negate the input sentence.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,dyck_languages,0 (Baseline),0.16,102.69,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,dyck_languages,1,0.2,114.67,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,dyck_languages,5,0.2,116.59,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,dyck_languages,10,0.19,125.12,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,object_counting,0 (Baseline),0.01,121.18,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,object_counting,1,0.02,69.72,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,object_counting,5,0.02,108.45,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,object_counting,10,0.0,57.72,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,ruin_names,0 (Baseline),0.01,46.32,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,ruin_names,1,0.0,32.29,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,ruin_names,5,0.0,35.31,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,ruin_names,10,0.0,30.21,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,word_sorting,0 (Baseline),0.0,75.51,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,word_sorting,1,0.0,39.92,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,word_sorting,5,0.0,55.34,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,word_sorting,10,0.0,44.93,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,disambiguation_qa,0 (Baseline),0.0,57.98,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,disambiguation_qa,1,0.0,30.68,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,disambiguation_qa,5,0.0,34.24,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
t5,disambiguation_qa,10,0.0,30.97,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
