model,task,stimulus,score,time_sec,prompt,metric,evaluation_method,temperature,top_p,max_new_tokens,do_sample,few_shot,num_samples,seed
llama2,dyck_languages,10,0.0,297.58,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,object_counting,0 (Baseline),0.29,298.11,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,object_counting,1,0.16,290.24,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,object_counting,5,0.23,304.93,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,object_counting,10,0.07,303.18,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,ruin_names,0 (Baseline),0.0,263.04,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,ruin_names,1,0.0,267.81,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,ruin_names,5,0.0,282.83,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,ruin_names,10,0.0,301.44,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,word_sorting,0 (Baseline),0.0,292.26,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,word_sorting,1,0.0,302.11,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,word_sorting,5,0.0,300.44,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,word_sorting,10,0.0,303.74,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,disambiguation_qa,0 (Baseline),0.02,296.83,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,disambiguation_qa,1,0.02,296.04,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,disambiguation_qa,5,0.03,301.18,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
llama2,disambiguation_qa,10,0.0,296.02,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
