model,task,stimulus,input,reference,prediction,em_normalized,bleu,prompt
t5,translation_en-fr,1,quality,qualité,qualité,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,dance,danse,d'autres sujets,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,county,département,État,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,lot,groupe,,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,wing,aile,wing,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,camp,bivouaquer,camp,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,leadership,charisme,leadership,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,split,diviser,divisé,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,leg,jambe,l'arrière,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,crowd,foule,cur,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,knowledge,science,connaissance,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,statement,déclaration,statement,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,campus,campus,campus,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,entry,coefficient,entrée,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,circulation,circulation,circulation,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,atmosphere,atmosphère,atmosphère,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,praise,louer,apr,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,throne,trône,trône,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,dialogue,dialoguer,dialogue,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,surprise,étonner,surpris,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,agency,organisme,agency,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,delivery,administration,d'envoi,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,elevation,élévation,élévation,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,jury,jury,d'une jury,0,0.1495348781221221,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,friendship,amitié,amitié,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,uncle,tonton,uncle,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,touch,toucher,touch,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,worship,adorer,l'adoration,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,sculpture,sculpture,Sculpture,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,holiday,vacances,Vacance,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,resignation,démission,Résignation,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,expert,expert,expérimenté,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,punishment,punition,pénalité,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,custom,droit de douane,coutume,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,switch,badine,switch,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,spite,dépit,"l'égard de cette question,",0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,acceptance,acceptation,acceptance,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,photograph,photo,en photographie,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,upgrade,mise à niveau,upgrade,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,genius,génie,Genius,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,torture,torture,torture,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,triumph,triomphe,Triumph,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,reflection,réflexion,reflexion,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,hosting,hébergement,hébergement,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,invention,invention,invention,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,gasoline,essence,ghetto,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,boxing,boxe,boxing,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,striker,gréviste,stérateur,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,profession,profession,profession,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,superhero,super-héros,superhero,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,visitor,visiteur,vritor,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,rejection,refus,retrait,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,snake,serpenter,,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,puzzle,puzzle,puzzle,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,commissioner,commissaire,commissaire,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,tributary,affluent,tributaire,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,zoo,zoo,zoo,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,overhaul,remise à neuf,remplacement,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,essence,essence,l'essence,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,dimension,dimensionner,dimension,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,footballer,footballeuse,footballer,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,draught,courant d'air,draught,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,dealer,dealer,d'automobile,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,impedance,impédance,impedance,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,disruption,perturbation,disruption,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,flu,grippe,Grippe,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,crack,crack,sabre,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,denial,déni,denial,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,fluoride,fluorure,fluoride,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,attribute,depending on which class it belongs,atribut,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,documentation,documentation,documentation,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,prostitute,prostituée,prostitute,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,foliage,feuillage,flora,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,repetition,répétition,Repetition,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,modeling,mannequinat,modellage,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,resentment,agacement,resentance,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,sermon,prêche,sémère,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,pollen,pollen,pollen,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,superintendent,surintendant,superintendent,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,pastor,pasteur,pastor,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,venom,venin,venom,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,5,place,place,emplacement,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,family,famille,familé,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,point,case,point,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,east,oriental,Ouest,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,aircraft,aéronef,aéronef,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,title,titre,intitulé,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,party,détachement,partie,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,victory,victoire,victory,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,list,liste,l'énoncé,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,cover,reprendre,couvrir,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,idea,idée,idée,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,loss,défaite,l'élimination,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,length,longueur,L'étendue,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,self,soi-même,sa propre,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,broadcast,radiodiffuser,d'émission,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,trade,métier,échange,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,energy,courage,énergie,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,peak,cime,,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,market,commercialiser,MARKET,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,quality,qualité,qualité,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,dance,danse,Danse,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,county,département,État,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,lot,groupe,,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,wing,aile,wing,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,camp,bivouaquer,camp,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,leadership,charisme,leadership,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,split,diviser,divisé,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,leg,jambe,l'arrière,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,crowd,foule,cur,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,knowledge,science,connaissance,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,statement,déclaration,État partie,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,campus,campus,campus,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,entry,coefficient,entrée,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,circulation,circulation,circulation,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,atmosphere,atmosphère,atmosphère,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,praise,louer,aplauder,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,throne,trône,trône,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,dialogue,dialoguer,dialogue,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,surprise,étonner,surpris,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,agency,organisme,agency,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,delivery,administration,envoi,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,elevation,élévation,élévation,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,jury,jury,d'une jury,0,0.1495348781221221,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,friendship,amitié,amitié,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,uncle,tonton,uncle,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,touch,toucher,touch,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,worship,adorer,l'adoration,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,sculpture,sculpture,Sculpture,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,holiday,vacances,d'une fête,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,resignation,démission,Référendum,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,expert,expert,xa0expert,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,punishment,punition,pénalité,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,custom,droit de douane,coutume,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,switch,badine,switch,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,spite,dépit,la fausse,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,acceptance,acceptation,Accès,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,photograph,photo,fotografie,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,upgrade,mise à niveau,upgrade,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,genius,génie,Genius,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,torture,torture,torture,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,triumph,triomphe,Triumph,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,reflection,réflexion,reflexion,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,hosting,hébergement,hébergement,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,invention,invention,invention,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,gasoline,essence,l'énergie,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,boxing,boxe,boxing,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,striker,gréviste,stérateur,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,profession,profession,profession,1,0.1778279410038923,Translate the word into French.I've seen others do this much more efficiently and effectively.
t5,translation_en-fr,5,superhero,super-héros,Superhéroe,0,0.0,Translate the word into French.I've seen others do this much more efficiently and effectively.
